a cappella, Redewendung, nhd.; L.: WDG1
a conto, Redewendung, nhd.; L.: WDG1
à la, Redensart, nhd.; L.: WDG1
a posteriori, Adv., nhd.; L.: WDG1
a priori, Adv., nhd.; L.: WDG1
a tempo, Adv., nhd.; L.: WDG1
a, A, N., nhd.; L.: WDG1
a-, Präfix, nhd.; L.: WDG1
à, Präp., nhd.; L.: WDG1
Aa, N., nhd.; L.: WDG1
Aal, M., nhd.; L.: WDG1
aalen, V., (sich), nhd.; L.: WDG1
Aalfang, M., nhd.; L.: WDG1
Aalfischer, M., nhd.; L.: WDG1
aalglatt, Adj., nhd.; L.: WDG1
aalig, Adj., nhd.; L.: WDG1
Aalkorb, M., nhd.; L.: WDG1
Aalleiter, M., nhd.; L.: WDG1
Aalnetz, N., nhd.; L.: WDG1
Aalräucherei, F., nhd.; L.: WDG1
Aalreuse, F., nhd.; L.: WDG1
Aalspeer, M., nhd.; L.: WDG1
Aalstechen, N., nhd.; L.: WDG1
Aalstrich, M., nhd.; L.: WDG1
Aaltreppe, F., nhd.; L.: WDG1
Aalwanderung, F., nhd.; L.: WDG1
Aar, M., nhd.; L.: WDG1
Aas, N.,nhd.; L.: WDG1
aasen, V., nhd.; L.: WDG1
Aasfliege, F., nhd.; L.: WDG1
aasfressend, Adj., nhd.; L.: WDG1
Aasfresser, M., nhd.; L.: WDG1
Aasgeier, M., nhd.; L.: WDG1
Aasgestank, M., nhd.; L.: WDG1
aasig, Adj., nhd.; L.: WDG1
Aasjäger, M., nhd.; L.: WDG1
Aaskäfer, M., nhd.; L.: WDG1
Aast, N., nhd.; L.: WDG1
Aasvogel, M., nhd.; L.: WDG1
ab-, Präfix, nhd.; L.: WDG1
ab, Präp., nhd.; L.: WDG1
abänderbar, Adj., nhd.; L.: WDG1
abändern, V., nhd.; L.: WDG1
abändern, V., nhd.; L.: WDG1
Abänderung, F., nhd.; L.: WDG1
Abänderung, F., nhd.; L.: WDG1
Abänderungsantrag, M., nhd.; L.: WDG1
Abänderungsantrag, M., nhd.; L.: WDG1
abänderungsbedürftig, Adj., nhd.; L.: WDG1
Abänderungsplan, M., nhd.; L.: WDG1
Abänderungsvorschlag ,M., nhd.; L.: WDG1
abängsten, V., nhd.; L.: WDG1
abängstigen, V., nhd.; L.: WDG1
abängstigen, V., nhd.; L.: WDG1
abarbeiten, V., nhd.; L.: WDG1
abarbeiten, V., nhd.; L.: WDG1
abärgern, V., nhd.; L.: WDG1
abärgern, V., nhd.; L.: WDG1
Abart, F., nhd.; L.: WDG1
Abart, F., nhd.; L.: WDG1
abarten, V., nhd.; L.: WDG1
abarten, V., nhd.; L.: WDG1
abartig, Adj., nhd.; L.: WDG1
abartig, Adj., nhd.; L.: WDG1
Abartigkeit, F., nhd.; L.: WDG1
Abartigkeit, F., nhd.; L.: WDG1
Abartung, F., nhd.; L.: WDG1
Abartung, F., nhd.; L.: WDG1
abäschern, V., (sich), nhd.; L.: WDG1
abatmen, V., nhd.; L.: WDG1
abatmen, V., nhd.; L.: WDG1
abätzen, V., nhd.; L.: WDG1
abätzen, V., nhd.; L.: WDG1
abbacken, V., nhd.; L.: WDG1
abbalgen, V., nhd.; L.: WDG1
abbalzen, V., nhd.; L.: WDG1
Abbau, M., nhd.; L.: WDG1
abbauen, V., nhd.; L.: WDG1
Abbauerscheinung, F., nhd.; L.: WDG1
Abbaufeld, N., nhd.; L.: WDG1
Abbauförderung, F., nhd.; L.: WDG1
Abbaugerät, N., nhd.; L.: WDG1
Abbauhammer, M., nhd.; L.: WDG1
Abbaukrankheit, F., nhd.; L.: WDG1
Abbauland, N., nhd.; L.: WDG1
Abbaumaßnahme, F., nhd.; L.: WDG1
Abbaumethode, F., nhd.; L.: WDG1
Abbaupfeiler, M., nhd.; L.: WDG1
Abbauprodukt, N., nhd.; L.: WDG1
Abbauprozess, Abbauprozeß, M., nhd.; L.: WDG1
Abbaurecht, N., nhd.; L.: WDG1
Abbausohle, F., nhd.; L.: WDG1
Abbaustoß, M., nhd.; L.: WDG1
Abbaustrecke, F., nhd.; L.: WDG1
Abbausystem, N., nhd.; L.: WDG1
Abbauverlust, M., nhd.; L.: WDG1
Abbauvorgang, M., nhd.; L.: WDG1
abbauwürdig, Adj., nhd.; L.: WDG1
Abbé, M., nhd.; L.: WDG1
abbeeren, V., nhd.; L.: WDG1
abbehalten, V., nhd.; L.: WDG1
abbeißen, V., nhd.; L.: WDG1
abbeizen, V., nhd.; L.: WDG1
abbekommen, V., nhd.; L.: WDG1
abberufen, V., nhd.; L.: WDG1
Abberufung, F., nhd.; L.: WDG1
abbestellen, V., nhd.; L.: WDG1
Abbestellung, F., nhd.; L.: WDG1
abbeten, V., nhd.; L.: WDG1
abbetteln, V., nhd.; L.: WDG1
abbezahlen, V., nhd.; L.: WDG1
abbiegen, V., nhd.; L.: WDG1
Abbiegung, F., nhd.; L.: WDG1
Abbild, N., nhd.; L.: WDG1
abbilden, V., nhd.; L.: WDG1
Abbildung, F., nhd.; L.: WDG1
abbinden, V., nhd.; L.: WDG1
Abbindung, F., nhd.; L.: WDG1
Abbiss, M., Abbiß, nhd.; L.: WDG1
Abbitte, F., nhd.; L.: WDG1
abbitten, V., nhd.; L.: WDG1
Abblasehahn, M., nhd.; L.: WDG1
abblasen, V., nhd.; L.: WDG1
Abblaserohr, N., nhd.; L.: WDG1
Abblaseventil, N., nhd.; L.: WDG1
abblassen, V., nhd.; L.: WDG1
abblättern, V., nhd.; L.: WDG1
